original_claim,processed_claim,label,id,label_id,predicted_label_id,predicted_label,is_correct,prediction_confidence,claim_length,word_count,length_bin,conf_bin
Ethiopia is on a cape.,ethiopia cape,REFUTES,91895,1,2,NOT ENOUGH INFO,False,0.99682236,22,5,0-5,0.9-1.0
The Blue Lagoon is in the same trilogy as The Garden of God.,blue lagoon trilogy garden god,SUPPORTS,199862,0,1,REFUTES,False,0.996795,60,13,11-15,0.9-1.0
Neil deGrasse Tyson wrote essays for Natural History magazine.,neil degrasse tyson wrote essay natural history magazine,SUPPORTS,28779,0,2,NOT ENOUGH INFO,False,0.99665797,62,9,6-10,0.9-1.0
The Eagles broke up in 1980.,eagle broke 1980,SUPPORTS,131166,0,1,REFUTES,False,0.9964759,28,6,6-10,0.9-1.0
Robin was murdered by the Joker in a 1989 book.,robin murdered joker 1989 book,SUPPORTS,93409,0,2,NOT ENOUGH INFO,False,0.99641716,47,10,6-10,0.9-1.0
Victor Hugo has only ever written about romance issues.,victor hugo ever written romance issue,NOT ENOUGH INFO,182940,2,1,REFUTES,False,0.99621385,55,9,6-10,0.9-1.0
A person was a music video director.,person music video director,NOT ENOUGH INFO,34439,2,0,SUPPORTS,False,0.99620986,36,7,6-10,0.9-1.0
Alandi is in a state.,alandi state,SUPPORTS,74133,0,1,REFUTES,False,0.9961947,21,5,0-5,0.9-1.0
Keanu Reeves was in the movie My Own Private Idaho.,keanu reef movie private idaho,SUPPORTS,26666,0,1,REFUTES,False,0.9961817,51,10,6-10,0.9-1.0
John Nash designed the Brighton.,john nash designed brighton,SUPPORTS,74577,0,2,NOT ENOUGH INFO,False,0.9961808,32,5,0-5,0.9-1.0
Islam's followers are called Catholics.,islam follower called catholic,SUPPORTS,26482,0,2,NOT ENOUGH INFO,False,0.9961153,39,5,0-5,0.9-1.0
Sleep can be disrupted by sleep paralysis.,sleep disrupted sleep paralysis,NOT ENOUGH INFO,209552,2,0,SUPPORTS,False,0.99590814,42,7,6-10,0.9-1.0
Avengers: Age of Ultron was released in the Americas.,avenger age ultron released america,SUPPORTS,66385,0,2,NOT ENOUGH INFO,False,0.99586236,53,9,6-10,0.9-1.0
Grace Jones influenced New York's cross-dressing movement in the 1980s.,grace jones influenced new york crossdressing movement 1980s,SUPPORTS,29118,0,2,NOT ENOUGH INFO,False,0.99570686,71,10,6-10,0.9-1.0
Assassin's Creed is released for a Nintendo console.,assassin creed released nintendo console,NOT ENOUGH INFO,221023,2,0,SUPPORTS,False,0.99564147,52,8,6-10,0.9-1.0
Zach Galifianakis was passed up for a role in Birdman.,zach galifianakis passed role birdman,SUPPORTS,47189,0,1,REFUTES,False,0.99563146,54,10,6-10,0.9-1.0
The Eagles did not put out the album One of These Nights.,eagle put album one night,REFUTES,55977,1,0,SUPPORTS,False,0.99560213,57,12,11-15,0.9-1.0
Notaries of every state in Brazil are required to perform same-sex marriages.,notary every state brazil required perform samesex marriage,SUPPORTS,222584,0,2,NOT ENOUGH INFO,False,0.99557835,77,12,11-15,0.9-1.0
Ederson Moraes plays only as a forward.,ederson moraes play forward,REFUTES,168329,1,2,NOT ENOUGH INFO,False,0.9954991,39,7,6-10,0.9-1.0
"Nike, Inc.'s trademarks are ""Just Do It"" and the Swoosh logo.",nike inc trademark swoosh logo,SUPPORTS,8511,0,2,NOT ENOUGH INFO,False,0.99548537,61,11,11-15,0.9-1.0
Asia has no trade with Europe.,asia trade europe,REFUTES,108871,1,0,SUPPORTS,False,0.99545527,30,6,6-10,0.9-1.0
Instagram is not Internet-based.,instagram internetbased,REFUTES,5275,1,0,SUPPORTS,False,0.995395,32,4,0-5,0.9-1.0
Robin Thicke has worked with Christina Aguilera.,robin thicke worked christina aguilera,SUPPORTS,202122,0,2,NOT ENOUGH INFO,False,0.9953506,48,7,6-10,0.9-1.0
Faith Evans has released an album with Bon Jovi.,faith evans released album bon jovi,NOT ENOUGH INFO,58432,2,0,SUPPORTS,False,0.99531484,48,9,6-10,0.9-1.0
Hansel and Gretel was recorded by someone.,hansel gretel recorded someone,NOT ENOUGH INFO,189304,2,0,SUPPORTS,False,0.9952602,42,7,6-10,0.9-1.0
Chris Noth was nominated for Best Supporting Actor for Sex and the City in 1999.,chris noth nominated best supporting actor sex city 1999,SUPPORTS,204802,0,2,NOT ENOUGH INFO,False,0.99520457,80,15,11-15,0.9-1.0
Whitey Bulger was charged only with murder.,whitey bulger charged murder,REFUTES,206344,1,0,SUPPORTS,False,0.9951976,43,7,6-10,0.9-1.0
Beauty Shop features Windom Earle as a character.,beauty shop feature windom earle character,NOT ENOUGH INFO,44526,2,0,SUPPORTS,False,0.9950954,49,8,6-10,0.9-1.0
Underworld is genre fiction.,underworld genre fiction,NOT ENOUGH INFO,123301,2,0,SUPPORTS,False,0.99484766,28,4,0-5,0.9-1.0
Anne Frank lived by herself.,anne frank lived,NOT ENOUGH INFO,107773,2,0,SUPPORTS,False,0.99484295,28,5,0-5,0.9-1.0
Floyd Mayweather Jr. is a WWE promoter.,floyd mayweather jr wwe promoter,NOT ENOUGH INFO,172638,2,0,SUPPORTS,False,0.9947876,39,7,6-10,0.9-1.0
Jaden Smith is an alien.,jaden smith alien,NOT ENOUGH INFO,4062,2,1,REFUTES,False,0.994785,24,5,0-5,0.9-1.0
Laurence Olivier was in an Alfred Hitchcock film.,laurence olivier alfred hitchcock film,NOT ENOUGH INFO,4399,2,0,SUPPORTS,False,0.99467033,49,8,6-10,0.9-1.0
"Jamie Oliver launched ""Jamie's Italian"" in Oxford.",jamie oliver launched jamies italian oxford,SUPPORTS,26763,0,2,NOT ENOUGH INFO,False,0.9945963,50,7,6-10,0.9-1.0
March 16 is the day Richard Nixon's wife died.,march 16 day richard nixon wife died,REFUTES,193330,1,0,SUPPORTS,False,0.9945844,46,9,6-10,0.9-1.0
Whoopi Goldberg won an acting Oscar.,whoopi goldberg acting oscar,SUPPORTS,135165,0,2,NOT ENOUGH INFO,False,0.99455243,36,6,6-10,0.9-1.0
Krysten Ritter had a role in Confessions of a Shopaholic.,krysten ritter role confession shopaholic,SUPPORTS,53234,0,2,NOT ENOUGH INFO,False,0.99448735,57,10,6-10,0.9-1.0
Minneapolis has thirteen lakes.,minneapolis thirteen lake,SUPPORTS,46256,0,2,NOT ENOUGH INFO,False,0.99441373,31,4,0-5,0.9-1.0
Trolls (soundtrack) is the soundtrack to the film Trolls.,troll soundtrack soundtrack film troll,SUPPORTS,167119,0,1,REFUTES,False,0.9943721,57,9,6-10,0.9-1.0
Archie Panjabi won a GLAAD Award.,archie panjabi glaad award,NOT ENOUGH INFO,228383,2,0,SUPPORTS,False,0.994327,33,6,6-10,0.9-1.0
RB Leipzig is less commonly known as Alemannia Aachen.,rb leipzig less commonly known alemannia aachen,NOT ENOUGH INFO,102476,2,1,REFUTES,False,0.9942954,54,9,6-10,0.9-1.0
Allen Iverson was in the NFL.,allen iverson nfl,NOT ENOUGH INFO,43954,2,0,SUPPORTS,False,0.99415684,29,6,6-10,0.9-1.0
The Bostonians (film) is a 1984 creative work.,bostonian film 1984 creative work,NOT ENOUGH INFO,188219,2,0,SUPPORTS,False,0.99407756,46,8,6-10,0.9-1.0
There is an island called Bermuda.,island called bermuda,NOT ENOUGH INFO,216402,2,0,SUPPORTS,False,0.99402255,34,6,6-10,0.9-1.0
"In Despicable Me 3, an actor plays a dual role.",despicable 3 actor play dual role,SUPPORTS,208268,0,2,NOT ENOUGH INFO,False,0.99396646,47,10,6-10,0.9-1.0
Thomas Pynchon composed music.,thomas pynchon composed music,NOT ENOUGH INFO,161040,2,0,SUPPORTS,False,0.9939312,30,4,0-5,0.9-1.0
Diana Ross recorded a duet with Stevie Wonder.,diana ross recorded duet stevie wonder,NOT ENOUGH INFO,65534,2,0,SUPPORTS,False,0.9938034,46,8,6-10,0.9-1.0
The Eagles put out the album One of These Nights in 1968.,eagle put album one night 1968,REFUTES,98358,1,0,SUPPORTS,False,0.99378914,57,12,11-15,0.9-1.0
Cloud Atlas has multiple plots.,cloud atlas multiple plot,SUPPORTS,99500,0,2,NOT ENOUGH INFO,False,0.9937755,31,5,0-5,0.9-1.0
"At the age of 26, Einstein published four papers.",age 26 einstein published four paper,SUPPORTS,193767,0,2,NOT ENOUGH INFO,False,0.9936299,49,9,6-10,0.9-1.0
A Nightmare on Elm Street was produced by Platinum Dunes.,nightmare elm street produced platinum dune,SUPPORTS,195766,0,2,NOT ENOUGH INFO,False,0.9936261,57,10,6-10,0.9-1.0
Louis T. Leonowens died in 1919.,louis leonowens died 1919,SUPPORTS,174416,0,1,REFUTES,False,0.9933693,32,6,6-10,0.9-1.0
Lana Del Rey is Canadian.,lana del rey canadian,NOT ENOUGH INFO,11175,2,1,REFUTES,False,0.9933215,25,5,0-5,0.9-1.0
Angela Lansbury was born to a family that was upper-middle-class.,angela lansbury born family uppermiddleclass,SUPPORTS,65855,0,1,REFUTES,False,0.9933073,65,10,6-10,0.9-1.0
George Lucas founded a city.,george lucas founded city,NOT ENOUGH INFO,30128,2,0,SUPPORTS,False,0.99328643,28,5,0-5,0.9-1.0
Emmanuel Adebayor plays for the Turkish musical İstanbul Başakşehir.,emmanuel adebayor play turkish musical istanbul başakşehir,REFUTES,60779,1,2,NOT ENOUGH INFO,False,0.99328303,68,9,6-10,0.9-1.0
Ilkhanate was established as a political entity ruled by a king or queen.,ilkhanate established political entity ruled king queen,NOT ENOUGH INFO,68090,2,0,SUPPORTS,False,0.9931544,73,13,11-15,0.9-1.0
Ellen Burstyn worked on a show.,ellen burstyn worked show,NOT ENOUGH INFO,180384,2,0,SUPPORTS,False,0.993113,31,6,6-10,0.9-1.0
All major political forces in Azerbaijan are not secular.,major political force azerbaijan secular,REFUTES,67531,1,2,NOT ENOUGH INFO,False,0.99302953,57,9,6-10,0.9-1.0
Taylor Sheridan played the role of Tyler Durden .,taylor sheridan played role tyler durden,NOT ENOUGH INFO,118301,2,0,SUPPORTS,False,0.99087334,49,9,6-10,0.9-1.0
Neymar was born and raised in Brazil.,neymar born raised brazil,NOT ENOUGH INFO,124898,2,0,SUPPORTS,False,0.45677727,37,7,6-10,0.4-0.5
Reuters transmits news in Korean Hangul.,reuters transmits news korean hangul,NOT ENOUGH INFO,129388,2,0,SUPPORTS,False,0.9095593,40,6,6-10,0.9-1.0
Alex Rodriguez is a basketball player.,alex rodriguez basketball player,NOT ENOUGH INFO,121197,2,0,SUPPORTS,False,0.96611464,38,6,6-10,0.9-1.0
Bal Gangadhar Tilak worked towards economic reform.,bal gangadhar tilak worked towards economic reform,NOT ENOUGH INFO,25342,2,0,SUPPORTS,False,0.98152566,51,7,6-10,0.9-1.0
The Royal Tenenbaum stars Dolly Parton.,royal tenenbaum star dolly parton,NOT ENOUGH INFO,220819,2,0,SUPPORTS,False,0.50551,39,6,6-10,0.5-0.6
Alessia Cara is a French singer.,alessia cara french singer,NOT ENOUGH INFO,201951,2,0,SUPPORTS,False,0.96592194,32,6,6-10,0.9-1.0
France controlled the colony of Mauritius.,france controlled colony mauritius,NOT ENOUGH INFO,78045,2,0,SUPPORTS,False,0.99263024,42,6,6-10,0.9-1.0
Mexico had a civil war called the War of the Reform.,mexico civil war called war reform,NOT ENOUGH INFO,9201,2,0,SUPPORTS,False,0.98615175,52,11,11-15,0.9-1.0
Leslie Groves oversaw the construction of the Pentagon in 1939.,leslie grove oversaw construction pentagon 1939,NOT ENOUGH INFO,227950,2,0,SUPPORTS,False,0.9251813,63,10,6-10,0.9-1.0
Ethiopia was a democracy.,ethiopia democracy,NOT ENOUGH INFO,120582,2,0,SUPPORTS,False,0.9228477,25,4,0-5,0.9-1.0
Andre Agassi won the Nobel Peace Prize.,andre agassi nobel peace prize,NOT ENOUGH INFO,87077,2,0,SUPPORTS,False,0.8660859,39,7,6-10,0.8-0.9
Back to the Future Part II is a sequel and it is significant.,back future part ii sequel significant,NOT ENOUGH INFO,38171,2,0,SUPPORTS,False,0.8932422,61,13,11-15,0.8-0.9
Marlon Brando was in a film by someone with blue eyes.,marlon brando film someone blue eye,NOT ENOUGH INFO,213107,2,0,SUPPORTS,False,0.9046668,54,11,11-15,0.9-1.0
Kurt Angle is an American professional fighter.,kurt angle american professional fighter,NOT ENOUGH INFO,104345,2,0,SUPPORTS,False,0.991996,47,7,6-10,0.9-1.0
Pacific Blue had five Emmy nominations.,pacific blue five emmy nomination,NOT ENOUGH INFO,182211,2,0,SUPPORTS,False,0.84940517,39,6,6-10,0.8-0.9
Trista Rehn is in The Bachelorette (season 13).,trista rehn bachelorette season 13,NOT ENOUGH INFO,11133,2,0,SUPPORTS,False,0.8967718,47,8,6-10,0.8-0.9
Iris Murdoch was married.,iris murdoch married,NOT ENOUGH INFO,216018,2,0,SUPPORTS,False,0.9007736,25,4,0-5,0.9-1.0
Inhumans is developed for a certain group or purpose.,inhumans developed certain group purpose,NOT ENOUGH INFO,67517,2,0,SUPPORTS,False,0.9735875,53,9,6-10,0.9-1.0
The Girl on the Train was produced by an actor.,girl train produced actor,NOT ENOUGH INFO,218061,2,0,SUPPORTS,False,0.9565596,47,10,6-10,0.9-1.0
PageRank was named after an American and it was successful.,pagerank named american successful,NOT ENOUGH INFO,164573,2,0,SUPPORTS,False,0.6383529,59,10,6-10,0.6-0.7
From the Earth to the Moon was co-produced by Michael Bostick.,earth moon coproduced michael bostick,NOT ENOUGH INFO,191297,2,0,SUPPORTS,False,0.97481525,62,11,11-15,0.9-1.0
Muhammad Ali was a leader for African Americans.,muhammad ali leader african american,NOT ENOUGH INFO,29927,2,0,SUPPORTS,False,0.9859308,48,8,6-10,0.9-1.0
Arcade Fire's fifth studio album was commercially successful.,arcade fire fifth studio album commercially successful,NOT ENOUGH INFO,86974,2,0,SUPPORTS,False,0.85061663,61,8,6-10,0.8-0.9
Solange Knowles owns a line of merchandise that is aimed at young children and oriented in hip-hop.,solange knowles owns line merchandise aimed young child oriented hiphop,NOT ENOUGH INFO,100679,2,0,SUPPORTS,False,0.8097614,99,17,16-20,0.8-0.9
Juliette Binoche married a French screenwriter and film director.,juliette binoche married french screenwriter film director,NOT ENOUGH INFO,134506,2,0,SUPPORTS,False,0.8944006,65,9,6-10,0.8-0.9
Jazz Jennings is the technical adviser for a TLC reality show.,jazz jennings technical adviser tlc reality show,NOT ENOUGH INFO,29785,2,0,SUPPORTS,False,0.81341094,62,11,11-15,0.8-0.9
Respiratory disease can be classified by air quality.,respiratory disease classified air quality,NOT ENOUGH INFO,59378,2,0,SUPPORTS,False,0.9634644,53,8,6-10,0.9-1.0
Italy has the third largest population size in the Eurozone.,italy third largest population size eurozone,NOT ENOUGH INFO,178315,2,0,SUPPORTS,False,0.7626759,60,10,6-10,0.7-0.8
Mike Love co-founded the Beach Boys in the 1970's.,mike love cofounded beach boy 1970s,NOT ENOUGH INFO,187989,2,0,SUPPORTS,False,0.97770166,50,9,6-10,0.9-1.0
"Jim Garrison used to be the poet laureate of Orleans Parish, Louisiana.",jim garrison used poet laureate orleans parish louisiana,NOT ENOUGH INFO,171177,2,0,SUPPORTS,False,0.6335795,71,12,11-15,0.6-0.7
Gold has a standard.,gold standard,NOT ENOUGH INFO,141594,2,0,SUPPORTS,False,0.92615885,20,4,0-5,0.9-1.0
All Scooby-Doo characters are identified only by a number.,scoobydoo character identified number,NOT ENOUGH INFO,541,2,0,SUPPORTS,False,0.99186665,58,9,6-10,0.9-1.0
Anderson Silva was named in the year 1975.,anderson silva named year 1975,NOT ENOUGH INFO,229426,2,0,SUPPORTS,False,0.93507195,42,8,6-10,0.9-1.0
Angelina Jolie works for an actress.,angelina jolie work actress,NOT ENOUGH INFO,67881,2,0,SUPPORTS,False,0.9899278,36,6,6-10,0.9-1.0
A Nightmare on Elm Street stars Hans Zimmer.,nightmare elm street star han zimmer,NOT ENOUGH INFO,195716,2,0,SUPPORTS,False,0.8101256,44,8,6-10,0.8-0.9
Titanium was written in part by Thomas Bangalter.,titanium written part thomas bangalter,NOT ENOUGH INFO,206607,2,0,SUPPORTS,False,0.964883,49,8,6-10,0.9-1.0
Marcus Rashford plays for Chelsea.,marcus rashford play chelsea,NOT ENOUGH INFO,149868,2,0,SUPPORTS,False,0.9456928,34,5,0-5,0.9-1.0
Good Will Hunting featured a song by Minnie Driver.,good hunting featured song minnie driver,NOT ENOUGH INFO,15447,2,0,SUPPORTS,False,0.99086714,51,9,6-10,0.9-1.0
On Stranger Tides is a science fiction novel.,stranger tide science fiction novel,NOT ENOUGH INFO,224343,2,0,SUPPORTS,False,0.8448111,45,8,6-10,0.8-0.9
Gabourey Sidibe was nominated for a Golden Globe.,gabourey sidibe nominated golden globe,NOT ENOUGH INFO,211591,2,0,SUPPORTS,False,0.5551592,49,8,6-10,0.5-0.6
Evonne Goolagong Cawley is from Perth.,evonne goolagong cawley perth,NOT ENOUGH INFO,170510,2,0,SUPPORTS,False,0.56803584,38,6,6-10,0.5-0.6
Geraldine Chaplin was adopted by Charlie Chaplin and Oona O'Neill after they had eight biologically related children.,geraldine chaplin adopted charlie chaplin oona oneill eight biologically related child,NOT ENOUGH INFO,167423,2,0,SUPPORTS,False,0.9793149,117,17,16-20,0.9-1.0
"The Economic Times is a serial publication containing news, articles, and comedy.",economic time serial publication containing news article comedy,NOT ENOUGH INFO,223252,2,0,SUPPORTS,False,0.92547846,81,12,11-15,0.9-1.0
Joey Graceffa is a YouTube personage.,joey graceffa youtube personage,NOT ENOUGH INFO,188426,2,0,SUPPORTS,False,0.9500011,37,6,6-10,0.9-1.0
Norway owns a supply of natural gas not needed for immediate use but available if required.,norway owns supply natural gas needed immediate use available required,NOT ENOUGH INFO,159142,2,0,SUPPORTS,False,0.8567644,91,16,16-20,0.8-0.9
The Wachowskis are parents.,wachowskis parent,NOT ENOUGH INFO,64445,2,0,SUPPORTS,False,0.93277365,27,4,0-5,0.9-1.0
Steffi Graf is a German citizen.,steffi graf german citizen,NOT ENOUGH INFO,62994,2,0,SUPPORTS,False,0.9722253,32,6,6-10,0.9-1.0
Guam is deemed to be subject to the decolonization process by the African Union.,guam deemed subject decolonization process african union,NOT ENOUGH INFO,67055,2,0,SUPPORTS,False,0.9247509,80,14,11-15,0.9-1.0
Pablo Picasso was considered a leader of postmodern art.,pablo picasso considered leader postmodern art,NOT ENOUGH INFO,94834,2,0,SUPPORTS,False,0.68708885,56,9,6-10,0.6-0.7
Michael Caine was in the Hunger Games trilogy.,michael caine hunger game trilogy,NOT ENOUGH INFO,147782,2,0,SUPPORTS,False,0.86142427,46,8,6-10,0.8-0.9
"Charles Marie de La Condamine was born in Paris on January 28, 1701.",charles marie de la condamine born paris january 28 1701,NOT ENOUGH INFO,62933,2,0,SUPPORTS,False,0.91548765,68,13,11-15,0.9-1.0
Danny DeVito was a producer for Childish Gambino.,danny devito producer childish gambino,NOT ENOUGH INFO,71143,2,0,SUPPORTS,False,0.85535574,49,8,6-10,0.8-0.9
John Adams was a diplomat in Australia.,john adam diplomat australia,NOT ENOUGH INFO,54793,2,0,SUPPORTS,False,0.62618345,39,7,6-10,0.6-0.7
The capital of Bali is located in the brown part of the island.,capital bali located brown part island,NOT ENOUGH INFO,51604,2,0,SUPPORTS,False,0.48894572,63,13,11-15,0.4-0.5
The Los Angeles Lakers's current assistant of basketball operations is Magic Johnson.,los angeles lakerss current assistant basketball operation magic johnson,NOT ENOUGH INFO,14795,2,0,SUPPORTS,False,0.94192344,85,12,11-15,0.9-1.0
Sophie Turner had written a feature film.,sophie turner written feature film,NOT ENOUGH INFO,177885,2,0,SUPPORTS,False,0.9813579,41,7,6-10,0.9-1.0
Thor: The Dark World was reviewed internationally.,thor dark world reviewed internationally,NOT ENOUGH INFO,158390,2,0,SUPPORTS,False,0.5354814,50,7,6-10,0.5-0.6
Vladimir Putin was born in a city with five million inhabitants in 1916.,vladimir putin born city five million inhabitant 1916,NOT ENOUGH INFO,221972,2,0,SUPPORTS,False,0.8348375,72,13,11-15,0.8-0.9
Alex Rodriguez is a soccer coach.,alex rodriguez soccer coach,NOT ENOUGH INFO,126351,2,0,SUPPORTS,False,0.654483,33,6,6-10,0.6-0.7
A quarry is where mason jars have been excavated.,quarry mason jar excavated,NOT ENOUGH INFO,113741,2,0,SUPPORTS,False,0.989808,49,9,6-10,0.9-1.0
Top Gun received mixed reviews from east coast reviewers.,top gun received mixed review east coast reviewer,NOT ENOUGH INFO,107226,2,0,SUPPORTS,False,0.60654724,57,9,6-10,0.6-0.7
Snooki & Jwoww was renewed by Fox.,snooki jwoww renewed fox,NOT ENOUGH INFO,183075,2,0,SUPPORTS,False,0.99088764,34,7,6-10,0.9-1.0
Prussia became part of a unitary state.,prussia became part unitary state,NOT ENOUGH INFO,17872,2,0,SUPPORTS,False,0.96820503,39,7,6-10,0.9-1.0
Gabourey Sidibe is an American politician.,gabourey sidibe american politician,NOT ENOUGH INFO,211613,2,0,SUPPORTS,False,0.7866479,42,6,6-10,0.7-0.8
Bernard Madoff got the maximum contract.,bernard madoff got maximum contract,NOT ENOUGH INFO,144945,2,0,SUPPORTS,False,0.94714975,40,6,6-10,0.9-1.0
The Wolfman (2010 film) starred Emma Watson.,wolfman 2010 film starred emma watson,NOT ENOUGH INFO,47263,2,0,SUPPORTS,False,0.9725184,44,7,6-10,0.9-1.0
