original_claim,processed_claim,label,id,label_id,predicted_label_id,predicted_label,is_correct,prediction_confidence,claim_length,word_count,length_bin,conf_bin
Kenneth Branagh was nominated for Best Supporting Actor.,kenneth branagh nominated best supporting actor,SUPPORTS,56078,0,0,SUPPORTS,True,0.9585164,56,8,6-10,0.9-1.0
Alex Rodriguez is a basketball player.,alex rodriguez basketball player,NOT ENOUGH INFO,121197,2,0,SUPPORTS,False,0.96611464,38,6,6-10,0.9-1.0
Loki is the father of Farbauti and Laufey.,loki father farbauti laufey,REFUTES,45168,1,1,REFUTES,True,0.79230005,42,8,6-10,0.7-0.8
Tom Franco has two brothers who act in American cinema.,tom franco two brother act american cinema,SUPPORTS,65630,0,1,REFUTES,False,0.87562925,55,10,6-10,0.8-0.9
"NASA is responsible for the Skylab space station, launched in 1980.",nasa responsible skylab space station launched 1980,REFUTES,3218,1,1,REFUTES,True,0.99300873,67,11,11-15,0.9-1.0
Song Sung Blue was recorded by a dog.,song sung blue recorded dog,REFUTES,205878,1,1,REFUTES,True,0.9987224,37,8,6-10,0.9-1.0
Superman is a DC Comics superhero.,superman dc comic superhero,SUPPORTS,55825,0,0,SUPPORTS,True,0.9919808,34,6,6-10,0.9-1.0
Wyatt Earp was a gambler in the Old West.,wyatt earp gambler old west,SUPPORTS,126870,0,0,SUPPORTS,True,0.9883586,41,9,6-10,0.9-1.0
Jennifer Jason Leigh had a role in a film.,jennifer jason leigh role film,SUPPORTS,86152,0,0,SUPPORTS,True,0.99605125,42,9,6-10,0.9-1.0
"West Hollywood, California is a rival of WeHo.",west hollywood california rival weho,REFUTES,83628,1,1,REFUTES,True,0.9967656,46,8,6-10,0.9-1.0
Marcus Allen's younger brother is Damon Allen.,marcus allen younger brother damon allen,SUPPORTS,211172,0,1,REFUTES,False,0.5043322,46,7,6-10,0.5-0.6
Super Metroid has only ever been a comic book.,super metroid ever comic book,REFUTES,198305,1,1,REFUTES,True,0.99897873,46,9,6-10,0.9-1.0
Bal Gangadhar Tilak worked towards economic reform.,bal gangadhar tilak worked towards economic reform,NOT ENOUGH INFO,25342,2,0,SUPPORTS,False,0.98152566,51,7,6-10,0.9-1.0
"The Jim Henson Company produced The Muppet Movie, The Dark Crystal, and Labyrinth.",jim henson company produced muppet movie dark crystal labyrinth,SUPPORTS,172270,0,0,SUPPORTS,True,0.8524995,82,13,11-15,0.8-0.9
Green Day won an award for Record of the Year.,green day award record year,SUPPORTS,19873,0,0,SUPPORTS,True,0.9842478,46,10,6-10,0.9-1.0
"Ramona Marquez's birthday is February 24, 2001.",ramona marquezs birthday february 24 2001,SUPPORTS,83031,0,0,SUPPORTS,True,0.986073,47,7,6-10,0.9-1.0
Allen Iverson played in the Boston Celtics.,allen iverson played boston celtic,NOT ENOUGH INFO,127597,2,2,NOT ENOUGH INFO,True,0.99743074,43,7,6-10,0.9-1.0
Alkaline Trio recorded the EP For Your Lungs Only.,alkaline trio recorded ep lung,SUPPORTS,23405,0,2,NOT ENOUGH INFO,False,0.99725705,50,9,6-10,0.9-1.0
The Legend of Tarzan (film) is a film that has a budget of $180 million.,legend tarzan film film budget 180 million,SUPPORTS,211875,0,1,REFUTES,False,0.5864846,72,15,11-15,0.5-0.6
Tom Cruise starred in a science fiction psychological thriller film.,tom cruise starred science fiction psychological thriller film,SUPPORTS,114269,0,0,SUPPORTS,True,0.99346465,68,10,6-10,0.9-1.0
Jason Sudeikis is not an American actor.,jason sudeikis american actor,SUPPORTS,122117,0,0,SUPPORTS,True,0.99299073,40,7,6-10,0.9-1.0
Russia is a recognized biologic weapon state.,russia recognized biologic weapon state,NOT ENOUGH INFO,34707,2,2,NOT ENOUGH INFO,True,0.9437082,45,7,6-10,0.9-1.0
Hogwarts has a full name.,hogwarts full name,SUPPORTS,171871,0,1,REFUTES,False,0.62501115,25,5,0-5,0.6-0.7
In the 13th century the Kingdom of Georgia fell.,13th century kingdom georgia fell,SUPPORTS,135784,0,0,SUPPORTS,True,0.99397016,48,9,6-10,0.9-1.0
The Nile drains through South Sudan.,nile drain south sudan,SUPPORTS,213212,0,0,SUPPORTS,True,0.6826711,36,6,6-10,0.6-0.7
Hayley Atwell was cut from The Duchess before filming.,hayley atwell cut duchess filming,REFUTES,160342,1,0,SUPPORTS,False,0.95901406,54,9,6-10,0.9-1.0
The Royal Tenenbaum stars Dolly Parton.,royal tenenbaum star dolly parton,NOT ENOUGH INFO,220819,2,0,SUPPORTS,False,0.50551,39,6,6-10,0.5-0.6
The Super Nintendo Entertainment System is made by a company based in Japan.,super nintendo entertainment system made company based japan,SUPPORTS,225627,0,0,SUPPORTS,True,0.99354327,76,13,11-15,0.9-1.0
Tom Felton was in Anna and the King.,tom felton anna king,SUPPORTS,20695,0,2,NOT ENOUGH INFO,False,0.95705074,36,8,6-10,0.9-1.0
"Starbucks was founded in Seattle, Washington.",starbucks founded seattle washington,SUPPORTS,134976,0,0,SUPPORTS,True,0.97515476,45,6,6-10,0.9-1.0
The Amanda Show's pilot aired in 1999.,amanda show pilot aired 1999,SUPPORTS,133203,0,1,REFUTES,False,0.7019726,38,7,6-10,0.7-0.8
"In the A Song of Ice and Fire series, Jaime Lannister is a character.",song ice fire series jaime lannister character,SUPPORTS,61454,0,0,SUPPORTS,True,0.992413,69,14,11-15,0.9-1.0
Sons of Anarchy takes place in Texas.,son anarchy take place texas,REFUTES,37144,1,0,SUPPORTS,False,0.9764164,37,7,6-10,0.9-1.0
Superman was a movie.,superman movie,SUPPORTS,32861,0,0,SUPPORTS,True,0.99339867,21,4,0-5,0.9-1.0
Ruth Negga only acts in Irish cinema.,ruth negga act irish cinema,REFUTES,70835,1,1,REFUTES,True,0.9990181,37,7,6-10,0.9-1.0
"Destiny was banned in Bellevue, Washington.",destiny banned bellevue washington,NOT ENOUGH INFO,42022,2,2,NOT ENOUGH INFO,True,0.99831676,43,6,6-10,0.9-1.0
Frédéric Auguste Bartholdi was an artist.,frédéric auguste bartholdi artist,SUPPORTS,118033,0,0,SUPPORTS,True,0.9947914,41,6,6-10,0.9-1.0
Andrew Stanton starred in an American science-fiction action film.,andrew stanton starred american sciencefiction action film,SUPPORTS,149378,0,0,SUPPORTS,True,0.87807876,66,9,6-10,0.8-0.9
Marlon Brando was in a movie.,marlon brando movie,SUPPORTS,213095,0,0,SUPPORTS,True,0.9961849,29,6,6-10,0.9-1.0
Peter Capaldi was in a film.,peter capaldi film,SUPPORTS,89133,0,0,SUPPORTS,True,0.9929919,28,6,6-10,0.9-1.0
Michael Jackson was born in 2009.,michael jackson born 2009,REFUTES,151530,1,1,REFUTES,True,0.9969121,33,6,6-10,0.9-1.0
The Houston Rockets are a team.,houston rocket team,SUPPORTS,29701,0,0,SUPPORTS,True,0.995739,31,6,6-10,0.9-1.0
Farrah Fawcett acted in a film.,farrah fawcett acted film,SUPPORTS,17635,0,0,SUPPORTS,True,0.9952437,31,6,6-10,0.9-1.0
Soundgarden was a solo performer.,soundgarden solo performer,REFUTES,112463,1,1,REFUTES,True,0.9989812,33,5,0-5,0.9-1.0
Charles Dickens was European.,charles dickens european,SUPPORTS,54189,0,0,SUPPORTS,True,0.99448895,29,4,0-5,0.9-1.0
Google is a Thai company.,google thai company,REFUTES,133134,1,1,REFUTES,True,0.98705494,25,5,0-5,0.9-1.0
Paul Walker acted in movies.,paul walker acted movie,SUPPORTS,48769,0,0,SUPPORTS,True,0.9958436,28,5,0-5,0.9-1.0
Yangon is in a place also known as Burma.,yangon place also known burma,SUPPORTS,18937,0,0,SUPPORTS,True,0.9925115,41,9,6-10,0.9-1.0
"Jerry Goldsmith collaborated with Robert Wise, Howard Hawks, Otto Preminger, Joe Dante, Richard Donner, Roman Polanski, Ridley Scott, Michael Winner, Steven Spielberg, Paul Verhoeven, and Franklin J. Schaffner.",jerry goldsmith collaborated robert wise howard hawk otto preminger joe dante richard donner roman polanski ridley scott michael winner steven spielberg paul verhoeven franklin j schaffner,SUPPORTS,219452,0,0,SUPPORTS,True,0.79554045,210,28,26-30,0.7-0.8
James Nesbitt starred in at least one television series.,james nesbitt starred least one television series,SUPPORTS,200823,0,0,SUPPORTS,True,0.99531084,56,9,6-10,0.9-1.0
Ulysses S. Grant fought the Civil War.,ulysses grant fought civil war,SUPPORTS,108273,0,0,SUPPORTS,True,0.9946365,38,7,6-10,0.9-1.0
Helena Bonham Carter only played Darth Maul in The King's Speech.,helena bonham carter played darth maul king speech,REFUTES,6735,1,0,SUPPORTS,False,0.6901245,65,11,11-15,0.6-0.7
Citadelle Laferrière is a mountaintop fortress.,citadelle laferrière mountaintop fortress,SUPPORTS,61962,0,2,NOT ENOUGH INFO,False,0.612815,47,6,6-10,0.6-0.7
Duane Hopwood includes Ryan Gosling.,duane hopwood includes ryan gosling,NOT ENOUGH INFO,194046,2,2,NOT ENOUGH INFO,True,0.9969694,36,5,0-5,0.9-1.0
Kobe Bryant has never played in the NBA.,kobe bryant never played nba,REFUTES,43816,1,1,REFUTES,True,0.9983444,40,8,6-10,0.9-1.0
Someone born in May cameos in The Waterboy.,someone born may cameo waterboy,SUPPORTS,223033,0,0,SUPPORTS,True,0.99005073,43,8,6-10,0.9-1.0
Honey to the B was the first album of a singer and actress from England.,honey b first album singer actress england,SUPPORTS,66006,0,0,SUPPORTS,True,0.9961272,72,15,11-15,0.9-1.0
Olivia Wilde is a Texan.,olivia wilde texan,NOT ENOUGH INFO,69175,2,2,NOT ENOUGH INFO,True,0.99680436,24,5,0-5,0.9-1.0
The Beatles have sold 178 million t-shirts.,beatles sold 178 million tshirts,NOT ENOUGH INFO,83250,2,2,NOT ENOUGH INFO,True,0.9979954,43,7,6-10,0.9-1.0
Newspapers include information.,newspaper include information,SUPPORTS,111687,0,0,SUPPORTS,True,0.99475217,31,3,0-5,0.9-1.0
Jackie Robinson was bestowed with an award by the President of Ireland.,jackie robinson bestowed award president ireland,NOT ENOUGH INFO,143701,2,2,NOT ENOUGH INFO,True,0.99733245,71,12,11-15,0.9-1.0
Miss Peregrine's Home for Peculiar Children is an award-winning book.,miss peregrine home peculiar child awardwinning book,NOT ENOUGH INFO,10111,2,2,NOT ENOUGH INFO,True,0.8436705,69,10,6-10,0.8-0.9
Dungeons & Dragons is a fantasy role-playing game.,dungeon dragon fantasy roleplaying game,SUPPORTS,204386,0,0,SUPPORTS,True,0.9962204,50,8,6-10,0.9-1.0
Haim Saban is exclusively an Italian-American.,haim saban exclusively italianamerican,REFUTES,226646,1,1,REFUTES,True,0.99838924,46,6,6-10,0.9-1.0
A player for the Colts was Peyton Manning.,player colt peyton manning,SUPPORTS,42659,0,0,SUPPORTS,True,0.99640805,42,8,6-10,0.9-1.0
The Wolf of Wall Street (2013 film) is not a film.,wolf wall street 2013 film film,REFUTES,66691,1,1,REFUTES,True,0.9924045,50,11,11-15,0.9-1.0
"Beginning in the 80s, Seattle has been a center of technology.",beginning 80 seattle center technology,SUPPORTS,27670,0,0,SUPPORTS,True,0.96725744,62,11,11-15,0.9-1.0
Acting is Jason Bateman's profession.,acting jason batemans profession,SUPPORTS,137204,0,0,SUPPORTS,True,0.996258,37,5,0-5,0.9-1.0
Nicki Minaj is a person.,nicki minaj person,SUPPORTS,109175,0,0,SUPPORTS,True,0.996262,24,5,0-5,0.9-1.0
Code Geass had a TV show.,code geass tv show,SUPPORTS,40232,0,0,SUPPORTS,True,0.99593014,25,6,6-10,0.9-1.0
Michael Douglas worked on a 1980's television crime drama.,michael douglas worked 1980s television crime drama,NOT ENOUGH INFO,8254,2,2,NOT ENOUGH INFO,True,0.9972996,58,9,6-10,0.9-1.0
Alessia Cara is a French singer.,alessia cara french singer,NOT ENOUGH INFO,201951,2,0,SUPPORTS,False,0.96592194,32,6,6-10,0.9-1.0
Yellow Flicker Beat is only a short story.,yellow flicker beat short story,REFUTES,182310,1,1,REFUTES,True,0.9983125,42,8,6-10,0.9-1.0
The Vampire Diaries is a popular American drama television series.,vampire diary popular american drama television series,SUPPORTS,174816,0,0,SUPPORTS,True,0.98648083,66,10,6-10,0.9-1.0
There is a sport called Cricket.,sport called cricket,SUPPORTS,66554,0,0,SUPPORTS,True,0.9955253,32,6,6-10,0.9-1.0
Eric Singer has performed at The Grammy Awards.,eric singer performed grammy award,NOT ENOUGH INFO,202412,2,2,NOT ENOUGH INFO,True,0.9955878,47,8,6-10,0.9-1.0
Martina Navratilova is only a soccer player.,martina navratilova soccer player,REFUTES,143775,1,1,REFUTES,True,0.99907076,44,7,6-10,0.9-1.0
Dangerous Beauty was directed by someone.,dangerous beauty directed someone,SUPPORTS,204479,0,0,SUPPORTS,True,0.9944248,41,6,6-10,0.9-1.0
Aix-Marseille-Provence Metropolis is located in France.,aixmarseilleprovence metropolis located france,REFUTES,135209,1,0,SUPPORTS,False,0.99265,55,6,6-10,0.9-1.0
Serena Williams is an athlete.,serena williams athlete,SUPPORTS,99650,0,0,SUPPORTS,True,0.99611735,30,5,0-5,0.9-1.0
Jessica Chastain was in a movie.,jessica chastain movie,SUPPORTS,3818,0,0,SUPPORTS,True,0.9947872,32,6,6-10,0.9-1.0
Slipknot released an album.,slipknot released album,SUPPORTS,137522,0,0,SUPPORTS,True,0.99586296,27,4,0-5,0.9-1.0
San Francisco is in America.,san francisco america,SUPPORTS,87164,0,0,SUPPORTS,True,0.99589396,28,5,0-5,0.9-1.0
Spider-Man 3 included at least three characters.,spiderman 3 included least three character,SUPPORTS,29711,0,0,SUPPORTS,True,0.9946413,48,7,6-10,0.9-1.0
France controlled the colony of Mauritius.,france controlled colony mauritius,NOT ENOUGH INFO,78045,2,0,SUPPORTS,False,0.99263024,42,6,6-10,0.9-1.0
Hypothyroidism can cause weight gain.,hypothyroidism cause weight gain,SUPPORTS,39425,0,0,SUPPORTS,True,0.8994901,37,5,0-5,0.8-0.9
Lee Majors isn't a television actor.,lee major isnt television actor,REFUTES,57993,1,1,REFUTES,True,0.9992625,36,6,6-10,0.9-1.0
The Man with the Iron Fists stars an actor.,man iron fist star actor,SUPPORTS,213696,0,0,SUPPORTS,True,0.9959448,43,9,6-10,0.9-1.0
Gregor Clegane is a character from a the kingdom of Westeros.,gregor clegane character kingdom westeros,SUPPORTS,222090,0,0,SUPPORTS,True,0.9267469,61,11,11-15,0.9-1.0
The Lion King is unrelated to the character Simba.,lion king unrelated character simba,REFUTES,143797,1,1,REFUTES,True,0.9989599,50,9,6-10,0.9-1.0
Shahid Kapoor is an graduation ceremony host.,shahid kapoor graduation ceremony host,NOT ENOUGH INFO,17003,2,2,NOT ENOUGH INFO,True,0.9974909,45,7,6-10,0.9-1.0
"Charlie Sheen died on September 2, 1965.",charlie sheen died september 2 1965,REFUTES,90923,1,1,REFUTES,True,0.99443984,40,7,6-10,0.9-1.0
Britney Spears sings.,britney spear sings,SUPPORTS,161869,0,0,SUPPORTS,True,0.9862213,21,3,0-5,0.9-1.0
Star Wars: The Force Awakens is a film.,star war force awakens film,SUPPORTS,8153,0,0,SUPPORTS,True,0.9956993,39,8,6-10,0.9-1.0
Death in Paradise has received cast substitutions.,death paradise received cast substitution,SUPPORTS,91416,0,2,NOT ENOUGH INFO,False,0.9914068,50,7,6-10,0.9-1.0
Noam Chomsky studied calculus.,noam chomsky studied calculus,REFUTES,89660,1,0,SUPPORTS,False,0.73930764,30,4,0-5,0.7-0.8
Songwriting is an act performed by Shania Twain.,songwriting act performed shania twain,SUPPORTS,94885,0,0,SUPPORTS,True,0.9954135,48,8,6-10,0.9-1.0
Kevin Spacey worked.,kevin spacey worked,SUPPORTS,77243,0,0,SUPPORTS,True,0.99499905,20,3,0-5,0.9-1.0
Mark Zuckerberg has no association with Facebook.,mark zuckerberg association facebook,REFUTES,53640,1,1,REFUTES,True,0.94858825,49,7,6-10,0.9-1.0
Boston has only one poorly rated school of medicine.,boston one poorly rated school medicine,REFUTES,163690,1,2,NOT ENOUGH INFO,False,0.98939383,52,9,6-10,0.9-1.0
Canada lacks a constitution.,canada lack constitution,REFUTES,125285,1,1,REFUTES,True,0.9939796,28,4,0-5,0.9-1.0
Bruce Almighty had Morgan Freeman in it.,bruce almighty morgan freeman,SUPPORTS,96392,0,0,SUPPORTS,True,0.93665594,40,7,6-10,0.9-1.0
Joseph Stalin was a squid.,joseph stalin squid,REFUTES,35294,1,1,REFUTES,True,0.9989292,26,5,0-5,0.9-1.0
Man of Steel was filmed in Boston.,man steel filmed boston,REFUTES,76064,1,2,NOT ENOUGH INFO,False,0.58173084,34,7,6-10,0.5-0.6
Steve Buscemi appears in at least one Coen brothers' film.,steve buscemi appears least one coen brother film,SUPPORTS,142152,0,0,SUPPORTS,True,0.9956071,58,10,6-10,0.9-1.0
The Bourne Supremacy has a character named Nicky Parsons.,bourne supremacy character named nicky parson,SUPPORTS,184883,0,2,NOT ENOUGH INFO,False,0.95983404,57,9,6-10,0.9-1.0
Michelle Pfeiffer was nominated for an Academy Award.,michelle pfeiffer nominated academy award,SUPPORTS,30207,0,0,SUPPORTS,True,0.9947666,53,8,6-10,0.9-1.0
Anil Kapoor has been an actor for almost 40 years.,anil kapoor actor almost 40 year,SUPPORTS,59202,0,2,NOT ENOUGH INFO,False,0.8901242,50,10,6-10,0.8-0.9
Planet of the Apes (1968 film) was penned by Rod Serling.,planet ape 1968 film penned rod serling,SUPPORTS,17953,0,0,SUPPORTS,True,0.9949722,57,11,11-15,0.9-1.0
Alex Rodriguez has had an occupation.,alex rodriguez occupation,SUPPORTS,61886,0,0,SUPPORTS,True,0.9960264,37,6,6-10,0.9-1.0
Allen Ginsberg wrote a poem about Syrian refugees.,allen ginsberg wrote poem syrian refugee,NOT ENOUGH INFO,130123,2,2,NOT ENOUGH INFO,True,0.9957684,50,8,6-10,0.9-1.0
Didier Drogba is an athlete.,didier drogba athlete,SUPPORTS,62110,0,0,SUPPORTS,True,0.9949418,28,5,0-5,0.9-1.0
Romelu Lukaku was in at least two tournaments.,romelu lukaku least two tournament,SUPPORTS,55629,0,0,SUPPORTS,True,0.99287367,46,8,6-10,0.9-1.0
Dan Martin is an Irish professional therapist.,dan martin irish professional therapist,NOT ENOUGH INFO,126175,2,2,NOT ENOUGH INFO,True,0.99784875,46,7,6-10,0.9-1.0
Niall Horan wrote a song called Love.,niall horan wrote song called love,NOT ENOUGH INFO,185910,2,2,NOT ENOUGH INFO,True,0.9933844,37,7,6-10,0.9-1.0
Eric Singer has performed with a musician.,eric singer performed musician,SUPPORTS,202418,0,0,SUPPORTS,True,0.99413514,42,7,6-10,0.9-1.0
Mexico had a civil war called the War of the Reform.,mexico civil war called war reform,NOT ENOUGH INFO,9201,2,0,SUPPORTS,False,0.98615175,52,11,11-15,0.9-1.0
Venom is in books.,venom book,SUPPORTS,11348,0,0,SUPPORTS,True,0.99401605,18,4,0-5,0.9-1.0
Egypt is a founding member of the Arab League.,egypt founding member arab league,SUPPORTS,47997,0,2,NOT ENOUGH INFO,False,0.4678437,46,9,6-10,0.4-0.5
Marlon Brando was in a film.,marlon brando film,SUPPORTS,213057,0,0,SUPPORTS,True,0.99549425,28,6,6-10,0.9-1.0
Cate Blanchett was nominated for an Academy Award.,cate blanchett nominated academy award,SUPPORTS,2290,0,0,SUPPORTS,True,0.9955882,50,8,6-10,0.9-1.0
Heinrich Himmler oversaw the Gestapo.,heinrich himmler oversaw gestapo,SUPPORTS,7385,0,0,SUPPORTS,True,0.9952011,37,5,0-5,0.9-1.0
Mike Tyson bit Holyfield's ears.,mike tyson bit holyfields ear,SUPPORTS,54924,0,0,SUPPORTS,True,0.98313177,32,5,0-5,0.9-1.0
Adele is a person.,adele person,SUPPORTS,48722,0,0,SUPPORTS,True,0.99600923,18,4,0-5,0.9-1.0
Lyme disease infects those affected by it.,lyme disease infects affected,SUPPORTS,114649,0,0,SUPPORTS,True,0.99491125,42,7,6-10,0.9-1.0
Ink Master had its fourth female winner.,ink master fourth female winner,NOT ENOUGH INFO,50110,2,2,NOT ENOUGH INFO,True,0.99706286,40,7,6-10,0.9-1.0
Gil Sharone began working with a band.,gil sharone began working band,SUPPORTS,180120,0,0,SUPPORTS,True,0.9918805,38,7,6-10,0.9-1.0
"Arrow's first four seasons are available on DVD and Blu-ray, as well as a soundtrack for the first two seasons.",arrow first four season available dvd bluray well soundtrack first two season,SUPPORTS,61598,0,2,NOT ENOUGH INFO,False,0.75831133,111,20,16-20,0.7-0.8
Sachin Tendulkar received a civilian award.,sachin tendulkar received civilian award,SUPPORTS,22461,0,0,SUPPORTS,True,0.99496657,43,6,6-10,0.9-1.0
Rajesh Khanna was a person.,rajesh khanna person,SUPPORTS,102953,0,0,SUPPORTS,True,0.9958138,27,5,0-5,0.9-1.0
Black Panther is a newspaper.,black panther newspaper,REFUTES,101299,1,1,REFUTES,True,0.99898785,29,5,0-5,0.9-1.0
Ginger Baker only played brass instruments.,ginger baker played brass instrument,REFUTES,25779,1,1,REFUTES,True,0.99785656,43,6,6-10,0.9-1.0
Chris Hemsworth is known for portraying Kim Hyde.,chris hemsworth known portraying kim hyde,SUPPORTS,105264,0,0,SUPPORTS,True,0.95914966,49,8,6-10,0.9-1.0
